StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,consent,prolific_id,Q41_First Click,Q41_Last Click,Q41_Page Submit,Q41_Click Count,Q14,Q14_DO,Q15,desktop,desktop_DO,Q48_First Click,Q48_Last Click,Q48_Page Submit,Q48_Click Count,beatles,beatles_DO,se.beatles,se.beatles_DO,Q49_First Click,Q49_Last Click,Q49_Page Submit,Q49_Click Count,alcapone,se.alcapone,se.alcapone_DO,Q50_First Click,Q50_Last Click,Q50_Page Submit,Q50_Click Count,vangogh,vangogh_DO,se.vangogh,se.vangogh_DO,natalia,natalia_DO,Q58,Q58_DO,spain,spain_DO,Q60,Q60_DO,Q60_1,Q60_2,Q60_3,Q60_5,Q60_DO,Q58,Q58_DO,Q32,Q33,Q34,Q34_DO,Q35,Q35_DO,Q36,Q36_DO,Q37,Q38,FL_90_DO,FL_12_DO,Google_default_DO
2023-07-13 17:30:42,2023-07-13 17:36:20,0,96.224.254.245,100,338,1,2023-07-13 17:36:21,R_0D6cCjumGKdGtZ7,,,,,40.6115,-74.0156,anonymous,EN,1,1,6400de8f305c51d03c2a9a0e,,,,,5,2|4|1|3|5,7,2,2|1,12.053,14.785,17.09,2,4,2|5|1|4|7|6|3,1,2|5|3|4|1,4.72,19.981,21.407,2,2,1,2|3|5|4|1,27.301,29.926,31.359,2,23,22|19|21|18|23|20|17,1,1|4|3|2|5,3,1|2|4|5|3,1,2|5|3|4|1,3,1|2|4|5|3,1,5|4|1|2|3,5,4,0,3,5|3|1|2,"1,3,5",2|3|4|5|1|6,1985,4,5,1|2|3|4|5,1,2|3|4|1,1,7|5|6|1|2|4|3,5,I definitely default to google out of force of habit as well as popularity. Duckduckgo is trash.,No_video,Google_default,google_default
2023-07-13 17:30:26,2023-07-13 17:36:49,0,104.35.39.186,100,383,1,2023-07-13 17:36:49,R_1Fy02H8aYwfB0Z4,,,,,34.0587,-118.2781,anonymous,EN,1,1,6155058f810b9e2f4184f021,,,,,5,5|2|3|4|1,7,2,1|2,8.428,34.05,35.197,7,4,1|5|4|6|7|3|2,"1,2",5|4|1|2|3,6.548,21.812,22.561,5,2,"1,2",1|2|3|5|4,2.306,19.082,19.66,6,23,19|21|17|22|23|20|18,"1,2",3|5|2|4|1,3,4|1|5|2|3,1,1|2|5|4|3,3,4|1|5|2|3,1,4|3|1|5|2,3.93,3.43,1.43,2.57,2|3|1|5,"1,3,5",6|2|3|1|5|4,2003,4,2,4|3|1|2|5,1,4|1|3|2,4,5|3|4|7|1|6|2,5,"I will only switch to Bing when Google doesn't work ",Video,Bing_default,
2023-07-13 17:31:30,2023-07-13 17:37:35,0,98.196.178.6,100,364,1,2023-07-13 17:37:35,R_2S1UsTnt6SRxiBL,,,,,29.8143,-95.8049,anonymous,EN,1,1,5e7e9e07d29f755802057a29,,,,,5,5|4|2|1|3,7,2,2|1,10.948,12.428,14.6,2,4,6|2|5|3|7|4|1,2,1|2|4|5|3,3.139,58.019,60.222,3,2,"1,2",2|4|3|1|5,51.342,52.83,54.923,2,17,18|20|22|17|19|21|23,1,1|5|3|2|4,3,5|2|1|3|4,1,2|4|1|5|3,3,2|5|3|1|4,1,1|5|4|3|2,4.45,3.82,3.55,2.22,5|3|2|1,"1,3,4",6|4|3|2|5|1,1997,4,2,5|2|3|4|1,1,2|1|4|3,4,4|1|5|6|3|2|7,5,I used the search bar in my browser which is Google by default after the first question,No_video,Bing_default,
2023-07-13 17:34:08,2023-07-13 17:41:34,0,172.220.165.104,100,445,1,2023-07-13 17:41:35,R_1dvhD1PuIBLA1te,,,,,36.1359,-81.1573,anonymous,EN,0.8999999761581421,1,633c3c9a501e00912095caff,,,,,5,5|1|4|3|2,7,2,1|2,18.939,21.321,23.314,2,4,1|7|2|4|6|3|5,1,1|2|4|3|5,21.541,24.098,25.578,2,2,1,2|4|1|5|3,29.886,32.126,33.908,2,23,19|20|21|22|17|23|18,1,3|5|2|1|4,3,5|4|2|3|1,1,2|4|3|5|1,1,5|4|2|3|1,1,1|5|3|4|2,4.5,3,2,3,2|1|3|5,1,4|5|2|6|3|1,1989,4,1,5|1|4|3|2,1,1|2|3|4,1,1|3|7|2|5|4|6,5,none,Video,Google_default,google_default
2023-07-13 17:34:53,2023-07-13 17:44:16,0,98.15.180.14,100,563,1,2023-07-13 17:44:17,R_26m6nQCXiBt2GMh,,,,,41.53,-74.2529,anonymous,EN,1,1,610b02438dff9a9a0958a84f,,,,,5,3|4|5|1|2,7,2,1|2,2.605,13.421,16.165,5,4,3|4|6|2|1|5|7,2,3|2|5|1|4,2.211,127.776,128.753,6,2,2,5|1|3|4|2,2.202,52.936,54.495,6,23,21|23|19|22|17|18|20,2,5|3|2|4|1,3,4|2|3|1|5,2,4|2|1|5|3,3,1|3|5|4|2,2,3|4|5|2|1,5,4.67,,,5|2|3|1,1,3|6|1|4|5|2,2000,4,1,3|1|2|5|4,2,1|3|2|4,1,6|3|1|2|4|5|7,4,,Video,Bing_default,
2023-07-13 17:46:01,2023-07-13 17:50:30,0,70.121.202.235,100,269,1,2023-07-13 17:50:31,R_10OzyHVhEd3Pkqr,,,,,29.4411,-98.4936,anonymous,EN,1,1,60b1e0b0d3329704f19e6590,,,,,5,1|3|2|5|4,7,2,1|2,14.222,17.569,18.735,2,4,4|7|3|1|6|5|2,1,2|3|4|1|5,4.187,20.99,21.543,5,2,1,3|5|1|2|4,2.074,21.139,23.142,6,23,19|20|22|23|21|17|18,1,1|2|4|5|3,3,2|1|4|5|3,1,5|2|1|3|4,3,5|4|2|1|3,1,3|4|2|1|5,4.69,1.86,3.03,2.99,1|5|3|2,1,1|5|3|4|2|6,1995,4,1,3|4|2|5|1,2,4|2|3|1,1,4|1|2|6|3|5|7,5,I always stick to google,No_video,Google_default,google_default
2023-07-13 17:45:49,2023-07-13 17:51:44,0,71.197.240.23,100,355,1,2023-07-13 17:51:45,R_1P771if0WFgbKn6,,,,,47.0399,-122.9059,anonymous,EN,1,1,62f5991b40e76fbc1bae0ce2,,,,,5,4|3|2|5|1,7,2,1|2,7.961,17.924,18.746,3,4,6|1|7|4|5|2|3,2,1|5|4|3|2,3.977,34.597,35.426,3,2,2,1|2|4|5|3,3.744,29.171,62.065,3,17,19|20|17|21|18|22|23,2,5|4|3|1|2,3,3|1|5|2|4,2,3|2|4|1|5,3,2|5|4|3|1,1,2|5|4|3|1,5,5,3,3,3|5|2|1,1,2|1|4|3|5|6,2002,3,5,3|5|2|1|4,1,4|1|3|2,4,2|4|6|7|1|5|3,5,,Video,Bing_default,
2023-07-13 17:47:45,2023-07-13 17:52:48,0,152.44.4.46,100,302,1,2023-07-13 17:52:49,R_pQwGfqsziocfmVj,,,,,34.224,-82.1625,anonymous,EN,0.8999999761581421,1,5e8f2bea7b5c000359d223ec,,,,,5,2|4|1|5|3,7,2,1|2,15.425,18.607,21.603,2,4,2|1|5|6|4|7|3,1,2|3|1|5|4,25.381,28.222,29.903,2,2,1,2|5|3|4|1,19.819,27.112,28.872,2,23,21|18|17|19|23|20|22,1,1|4|2|3|5,3,2|5|3|4|1,1,3|4|2|1|5,3,4|3|5|1|2,1,2|5|1|3|4,5,1,4,3,1|5|3|2,"1,2",2|1|6|4|3|5,1983,5,3,3|5|1|2|4,1,2|1|3|4,1,5|2|1|4|6|3|7,5,No,No_video,Bing_default,
2023-07-13 17:41:20,2023-07-13 17:53:27,0,73.24.72.55,100,726,1,2023-07-13 17:53:27,R_2Es2UW8avgNG88a,,,,,28.8554,-81.6873,anonymous,EN,1,1,60c43074007f97df5d485459,,,,,5,2|1|3|5|4,7,2,1|2,20.009,22.792,51.391,2,4,4|6|5|7|1|2|3,1,4|5|2|3|1,6.664,194.164,195.018,3,1,1,3|2|4|5|1,55.644,57.411,58.831,2,17,20|21|22|18|19|17|23,1,5|4|2|1|3,3,3|4|1|5|2,1,3|4|5|2|1,3,1|4|2|5|3,1,1|3|5|4|2,5,4,5,4,1|3|5|2,"1,3",2|4|1|3|5|6,1983,4,3,4|3|1|5|2,2,2|4|3|1,1,5|3|6|4|7|2|1,5,"I usually use Google by default, and I likely would have switched to it if I had been assigned Yahoo or Bing.",No_video,Google_default,google_default
2023-07-13 17:48:09,2023-07-13 17:53:33,0,70.167.117.42,100,323,1,2023-07-13 17:53:33,R_3KrW6mssBrr1xnS,,,,,32.7203,-117.1552,anonymous,EN,0.8999999761581421,1,6122c4c32f62073ea0b47fca,,,,,5,3|1|4|2|5,7,2,2|1,13.225,16.857,17.653,2,4,1|5|2|3|4|6|7,2,3|4|2|1|5,12.243,22.788,24.008,5,2,1,3|4|1|5|2,4.401,38.985,39.806,5,17,22|21|20|23|17|19|18,2,4|1|3|5|2,3,5|1|4|3|2,1,1|4|2|3|5,3,1|3|5|2|4,1,4|5|2|1|3,3.7,2.67,0.3,1.43,3|1|2|5,"1,3",4|2|6|3|1|5,1993,4,2,1|4|2|3|5,2,3|1|2|4,4,3|6|7|4|2|1|5,5,"No, but good luck on your PhD!",Video,Bing_default,
2023-07-13 17:48:26,2023-07-13 17:56:35,0,98.244.162.87,100,488,1,2023-07-13 17:56:35,R_1Hq3ldTUmzmonFc,,,,,32.296,-81.2354,anonymous,EN,1,1,6397e47d11d5e5c98c455d15,,,,,5,3|5|1|2|4,7,2,2|1,22.293,27.505,28.82,3,4,4|5|6|1|3|7|2,1,5|4|2|1|3,9.406,133.789,135.25,9,1,4,2|3|4|5|1,4.544,22.113,23.177,5,23,18|23|17|20|19|22|21,1,3|1|2|5|4,3,5|1|4|3|2,4,1|5|2|3|4,3,2|3|5|4|1,2,3|5|1|2|4,4.44,4.54,3.74,,1|3|2|5,"1,2,3",6|4|5|3|1|2,1966,5,5,5|4|1|3|2,2,4|3|1|2,1,3|4|6|2|5|7|1,5,no,No_video,Google_default,google_default
2023-07-13 17:55:17,2023-07-13 18:01:27,0,67.171.194.246,100,370,1,2023-07-13 18:01:28,R_27CEsCNrlfEnVaL,,,,,45.5033,-122.7744,anonymous,EN,1,1,60fd01cc86bb3e402db85e93,,,,,5,5|1|4|3|2,7,2,1|2,23.501,26.684,27.786,2,4,3|7|4|2|1|6|5,1,2|5|4|3|1,93.111,94.68,96.011,2,2,1,2|1|3|4|5,18.823,20.332,21.692,2,23,22|17|20|21|18|19|23,1,5|3|4|1|2,3,1|2|5|4|3,1,2|1|4|5|3,3,5|1|4|3|2,1,5|3|1|2|4,4.5,3.93,1.6,2.5,2|1|5|3,"1,3",3|5|1|2|6|4,1987,3,4,5|2|1|3|4,2,2|4|3|1,1,7|4|3|6|5|2|1,5,I probably would have switched to Google if I had been presented with any of the other options.,No_video,Google_default,google_default
2023-07-13 17:52:50,2023-07-13 18:02:14,0,107.220.203.55,100,563,1,2023-07-13 18:02:15,R_DAE4oXe3KRemIdr,,,,,38.3078,-85.7359,anonymous,EN,1,1,5bdaaa751c73640001629a6c,,,,,5,3|5|1|2|4,7,2,2|1,16.239,27.24,28.944,6,4,3|6|2|5|4|1|7,1,4|3|5|2|1,43.807,52.2,104.558,5,7,1,4|3|2|1|5,48.963,53.665,55.554,4,23,19|17|22|23|18|21|20,1,1|3|4|5|2,3,4|2|1|3|5,1,2|1|5|3|4,3,2|4|3|1|5,1,5|3|4|2|1,5,0,5,1,3|2|5|1,"1,2",6|4|1|2|3|5,1982,3,4,3|1|5|2|4,2,3|4|1|2,1,7|4|5|3|6|1|2,5,,Video,Google_default,google_default
2023-07-13 18:02:25,2023-07-13 18:08:59,0,24.170.236.56,100,393,1,2023-07-13 18:09:00,R_1iqEVzF44BOUdAf,,,,,39.6343,-77.7337,anonymous,EN,1,1,5ee526f3eca1a22601d187f4,,,,,5,2|3|5|4|1,7,2,2|1,16.9,35.978,37.816,4,4,7|4|3|6|5|1|2,2,4|2|5|3|1,10.534,45.582,62.444,4,2,1,3|4|1|2|5,36.22,39.426,40.6,2,23,22|17|18|23|20|21|19,1,1|4|2|3|5,3,3|1|5|2|4,1,4|2|3|5|1,3,3|1|2|5|4,1,5|2|1|4|3,4.53,2.73,2.53,2.7,5|1|2|3,"1,3",2|6|1|5|3|4,1962,4,2,3|1|2|4|5,1,3|2|4|1,1,5|7|4|1|3|6|2,5,I typically always use google,No_video,Bing_default,
2023-07-13 18:06:03,2023-07-13 18:12:18,0,174.71.112.6,100,375,1,2023-07-13 18:12:18,R_26btAAKil8VZmif,,,,,41.2612,-95.9354,anonymous,EN,1,1,58cefdb030c4cf0001ceb3ac,,,,,5,3|4|5|2|1,7,2,2|1,5.138,23.579,25.361,3,4,6|3|4|2|7|5|1,1,2|3|5|1|4,7.929,72.074,74.551,4,2,1,2|3|4|1|5,4.234,28.542,29.888,3,23,22|17|21|23|18|19|20,1,5|4|2|1|3,3,3|1|5|2|4,1,4|5|1|2|3,3,2|4|1|3|5,1,3|1|5|2|4,4.63,2.46,4.33,3.93,3|5|2|1,1,1|5|6|3|4|2,1955,4,3,1|4|3|2|5,2,2|3|1|4,1,5|3|7|2|6|1|4,5,I don't have any.,No_video,Google_default,google_default
2023-07-13 18:01:59,2023-07-13 18:12:56,0,173.70.16.138,100,657,1,2023-07-13 18:12:56,R_3ITf0kjiMN08UIV,,,,,39.9769,-74.1601,anonymous,EN,1,1,60fdafca5fae411bbb573d4a,,,,,5,3|1|5|4|2,7,2,1|2,23.689,32.863,34.072,2,4,5|4|3|1|6|2|7,2,5|3|4|1|2,134.248,137.641,138.66,2,1,2,2|3|5|4|1,45.135,46.857,48.066,2,23,18|23|21|17|22|19|20,1,5|3|1|4|2,3,2|5|1|4|3,1,5|3|1|4|2,3,2|4|5|1|3,1,2|5|4|1|3,4.77,4.77,3.57,4.6,1|2|3|5,"1,3",2|4|3|1|6|5,1987,5,1,2|1|4|5|3,2,3|1|4|2,1,5|2|7|6|1|4|3,5,No,Video,Bing_default,
2023-07-13 18:08:17,2023-07-13 18:13:30,0,76.18.250.190,100,313,1,2023-07-13 18:13:31,R_CgoU8eugbpRU1KF,,,,,31.1455,-81.4981,anonymous,EN,1,1,5a443703daea400001ac2859,,,,,5,5|3|4|1|2,7,2,1|2,28.425,42.09,43.376,6,4,4|5|1|6|3|2|7,1,2|1|3|4|5,9.964,50.638,51.641,5,2,1,4|1|5|3|2,2.735,18.798,19.315,5,23,17|23|20|21|22|18|19,1,4|2|5|3|1,3,5|3|1|4|2,1,5|3|1|4|2,3,5|1|3|2|4,1,3|4|5|1|2,5,3.5,2.97,2.6,2|3|5|1,"1,3,5",5|2|6|1|4|3,1997,4,5,1|5|4|3|2,1,3|1|4|2,1,6|2|7|4|1|5|3,5,,Video,Google_default,google_default
2023-07-13 18:11:16,2023-07-13 18:16:14,0,107.192.144.133,100,298,1,2023-07-13 18:16:15,R_1GDjdd8JQ2qJnzz,,,,,29.4227,-98.4927,anonymous,EN,1,1,60dccc040c30eb41bf18769e,,,,,5,3|5|2|1|4,7,2,2|1,16.893,22.506,24.029,4,4,1|2|7|6|4|5|3,1,4|3|5|2|1,8.645,26.414,27.666,6,2,1,1|4|2|3|5,2.367,18.705,19.772,6,23,17|21|19|18|22|23|20,1,4|1|2|3|5,3,5|1|3|2|4,1,1|2|3|4|5,3,5|4|1|2|3,1,2|4|1|5|3,3.63,2.6,3.7,2.03,5|3|2|1,"1,2,3",3|1|4|6|5|2,1987,3,5,2|5|1|3|4,2,2|1|4|3,7,2|3|1|5|4|6|7,5,,Video,Google_default,google_default
