StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,consent,prolific_id,Q41_First Click,Q41_Last Click,Q41_Page Submit,Q41_Click Count,Q14,Q14_DO,Q15,Q38_First Click,Q38_Last Click,Q38_Page Submit,Q38_Click Count,choice_screen,choice_screen_DO,Q42_First Click,Q42_Last Click,Q42_Page Submit,Q42_Click Count,desktop,desktop_DO,survey_version,default_assigned,default_assigned_DO,Q48_First Click,Q48_Last Click,Q48_Page Submit,Q48_Click Count,beatles,beatles_DO,se.beatles,se.beatles_DO,Q49_First Click,Q49_Last Click,Q49_Page Submit,Q49_Click Count,alcapone,se.alcapone,se.alcapone_DO,Q50_First Click,Q50_Last Click,Q50_Page Submit,Q50_Click Count,vangogh,vangogh_DO,se.vangogh,se.vangogh_DO,Q60_1,Q60_2,Q60_3,Q60_5,Q60_DO,Q43_First Click,Q43_Last Click,Q43_Page Submit,Q43_Click Count,Q58,Q58_DO,choice screen,choice screen_DO,survey.type.weather,survey.type.weather_DO,Q55,Q51_First Click,Q51_Last Click,Q51_Page Submit,Q51_Click Count,austin,app_austin,app_austin_DO,Q52_First Click,Q52_Last Click,Q52_Page Submit,Q52_Click Count,cambridge,app_cambridge,app_cambridge_DO,Q53_First Click,Q53_Last Click,Q53_Page Submit,Q53_Click Count,cupertino,app_cupertino,app_cupertino_DO,Q31_1,Q31_2,Q31_3,Q31_DO,Q54,Q32,Q33,Q34,Q34_DO,Q35,Q35_DO,Q36,Q36_DO,Q37,Q38,rid,gc,Q_UnansweredPercentage,Q_UnansweredQuestions,Q_StraightliningCount,Q_StraightliningPercentage,Q_StraightliningQuestions,FL_12_DO,default_DO,video.weather_DO,weather_DO
2023-07-12 18:20:29,2023-07-12 18:35:47,0,172.76.40.167,100,917,1,2023-07-12 18:35:47,R_9v5wCSCOpXu1VAJ,,,,,45.7775,-93.6452,anonymous,EN,1,1,5ca95e5fb98ee20017d6eeb7,,,,,5,2|1|3|5|4,7,19.217,22.102,23.309,2,1,5|3|2|1,,,,,2,1|2,1,,,12.53,67.466,68.428,4,4,6|3|5|2|4|7|1,1,1|3|5|4|2,13.183,100.328,101.547,6,2,1,1|2|3|4|5,6.57,63.817,65.398,5,23,22|20|18|17|23|19|21,1,2|5|1|4|3,5,5,0,4,1|5|2|3,15.136,36.748,37.979,8,"1,3",2|3|6|4|1|5,,,2,1|2,2,115.161,143.955,144.78,4,1,2,2|1|3|4,100.42,104.18,105.304,3,1,2,3|1|2|4,6.906,69.214,70.316,5,3,2,3|2|4|1,4,3,3,2|1|3,1,1977,2,5,2|5|1|3|4,2,4|2|3|1,1,6|7|5|4|2|1|3,5,"I didn't care for the one assigned but figured out how to use it, I normally use a weather app on my phone so using a website was more difficult.",,1,0,,0,0,,choice_screen,,description,default_aw
2023-07-12 18:22:55,2023-07-12 18:36:14,0,47.201.194.223,100,798,1,2023-07-12 18:36:14,R_1mnhUUi5xYRshV2,,,,,27.947,-82.7943,anonymous,EN,1,1,5d0e7ce13fe2d0001999c056,,,,,5,3|1|2|5|4,7,7.907,7.907,9.947,1,1,3|5|1|2,,,,,2,1|2,1,,,19.189,113.206,115.107,4,4,6|1|5|3|2|7|4,1,4|5|3|2|1,8.882,111.39,112.996,4,2,1,3|4|5|1|2,4.691,125.69,127.903,6,17,17|21|22|20|18|23|19,1,2|5|4|1|3,3.38,2.65,3.72,2.68,5|3|1|2,5.918,17.205,18.73,6,"1,5",3|6|2|4|5|1,1,2|3|1,1,2|1,,98.051,101.788,103.616,2,1,1,3|2|1|4,28.929,32.418,34.597,2,1,1,4|1|2|3,23.609,26.138,27.255,2,1,1,2|4|3|1,4,4,3,2|1|3,1,1956,3,2,4|2|3|1|5,1,3|2|1|4,1,4|5|7|2|3|1|6,5,no,,1,0,,0,0,,choice_screen,,description,choice screen
2023-07-12 18:28:52,2023-07-12 18:36:15,0,71.191.243.86,100,442,1,2023-07-12 18:36:15,R_1nUePbkjGsxjAky,,,,,38.9994,-77.0336,anonymous,EN,1,1,64722069e3f952447b20006c,,,,,5,1|5|3|4|2,7,12.336,24.189,34.958,2,1,2|5|3|1,,,,,2,2|1,1,,,14.912,17.512,21.115,2,4,3|6|7|1|4|2|5,1,4|3|2|5|1,28.888,30.803,31.872,2,2,1,1|4|2|3|5,29.661,32.31,33.814,3,17,23|22|21|17|20|18|19,1,3|2|1|4|5,4,3,5,4,3|5|2|1,4.526,39.458,43.216,14,"1,4",2|4|5|3|6|1,1,2|1|3,1,1|2,,47.201,55.751,59.09,3,1,1,1|4|2|3,53.108,55.606,56.61,3,3,1,1|2|4|3,21.503,23.32,24.704,2,1,1,4|1|2|3,3,4,4,1|2|3,4,2003,3,2,4|1|3|5|2,2,3|1|2|4,1,5|7|1|3|4|2|6,5,,,1,0.03125,QID38,0,0,,choice_screen,,description,choice screen
2023-07-12 18:30:53,2023-07-12 18:36:43,0,160.72.94.4,100,349,1,2023-07-12 18:36:43,R_Dxf5OtbM3J3gZnH,,,,,42.6552,-73.802,anonymous,EN,0.8999999761581421,1,610040c3549b2a3e3c00f6cc,,,,,5,3|4|5|1|2,7,10.108,10.108,14.454,1,1,1|2|3|5,,,,,2,2|1,1,,,10.721,13.921,15.526,3,4,6|3|2|5|4|7|1,1,5|1|3|4|2,35.839,37.534,38.856,2,1,1,1|4|5|3|2,17.157,25.079,25.951,2,23,21|17|23|20|22|19|18,1,4|2|5|3|1,5,2,2.5,2.5,3|5|2|1,10.133,30.625,31.799,11,1,6|3|1|4|5|2,,,2,1|2,1,51.096,55.816,56.817,4,1,1,3|4|1|2,15.167,17.433,21.328,2,3,1,2|1|4|3,14.88,16.679,17.36,2,1,1,2|4|1|3,3,3,3,2|1|3,1,2001,3,4,4|1|3|2|5,3,3|2|4|1,1,2|7|6|3|1|4|5,5,,,1,0.03125,QID38,0,0,,choice_screen,,description,default_wc
2023-07-12 18:31:57,2023-07-12 18:36:56,0,70.151.33.201,100,298,1,2023-07-12 18:36:56,R_8vraqcd5JyVBc9X,,,,,37.8065,-85.4592,anonymous,EN,1,1,57a9f41a16a091000112f1cf,,,,,5,3|5|4|1|2,7,3.891,3.891,8.617,1,2,5|1|3|2,,,,,2,2|1,1,,,7.723,22.082,23.204,3,2,4|2|6|7|5|3|1,4,2|1|4|3|5,3.735,20.896,22.33,3,2,3,3|5|1|2|4,3.35,21.553,22.599,3,23,22|19|17|20|18|23|21,4,1|3|2|5|4,3,2,4,2,1|2|5|3,2.214,16.523,17.309,7,"1,2",3|5|6|1|2|4,,,2,2|1,1,31.499,34.555,35.397,2,1,1,4|3|1|2,18.546,20.659,21.418,2,3,1,4|1|3|2,3.5,14.379,15.536,5,3,1,2|4|3|1,3,4,3,2|1|3,"1,2",2000,4,4,2|3|4|5|1,1,1|4|2|3,1,3|2|5|4|1|6|7,5,sorry i clicked yahoo for one but meant duckduckgo,,1,0,,0,0,,choice_screen,,description,default_wc
2023-07-12 18:30:45,2023-07-12 18:37:01,0,47.225.188.32,100,376,1,2023-07-12 18:37:02,R_xEpbqWhUOTdapB7,,,,,43.1152,-85.5136,anonymous,EN,1,1,5ef4b8cf1f15df0ae9c7a706,,,,,5,2|5|1|3|4,7,4.548,4.548,7.799,1,1,5|2|1|3,,,,,2,2|1,1,,,40.985,42.382,43.732,2,4,7|5|3|1|2|6|4,1,3|2|1|4|5,14.691,28.159,28.953,3,2,1,1|4|2|5|3,1.587,15.17,15.906,3,23,21|23|19|17|22|20|18,1,5|3|2|1|4,5,2.93,3.07,2.97,2|3|5|1,3.285,17.93,19.471,6,1,4|2|1|3|6|5,,,2,1|2,3,63.901,67.147,71.061,2,1,3,4|1|2|3,31.413,32.783,33.898,2,1,3,2|1|3|4,33.475,34.671,35.587,2,1,3,1|2|3|4,4,4,5,1|2|3,3,1993,5,4,4|5|1|2|3,1,1|3|4|2,4,1|2|4|5|6|3|7,5,none,,1,0,,0,0,,choice_screen,,description,default_wu
2023-07-12 18:36:39,2023-07-12 18:37:25,0,174.208.38.24,100,46,1,2023-07-12 18:37:26,R_3fOfYN05ZZE93Pm,,,,,42.9685,-78.7492,anonymous,EN,1,1,649f0a896ad5e3df5275d44f,,,,,1,5|3|4|1|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,0,0,,,,,
2023-07-12 18:29:49,2023-07-12 18:38:08,0,76.137.87.97,100,499,1,2023-07-12 18:38:09,R_2U5ecyaK4GxDKC6,,,,,26.4122,-80.0875,anonymous,EN,1,1,62bdadf07a2fd70b3257e791,,,,,5,5|3|2|1|4,7,,,,,,,0,0,16.977,0,2,2|1,2,2,2|3|1|4,28.152,32.016,33.873,2,4,2|6|1|7|4|5|3,5,2|1|3|4|5,3.235,52.434,53.708,3,2,5,2|4|1|5|3,3.011,24.177,25.282,3,23,18|20|21|23|22|19|17,5,2|4|5|3|1,4.38,2.48,3.42,2.58,1|2|5|3,3.004,12.389,14.711,7,"1,2,3",6|1|2|5|4|3,,,2,1|2,2,6.13,77.311,79.169,4,1,2,2|4|1|3,4.63,84.628,86.153,4,1,2,2|4|3|1,5.824,42.655,43.866,3,3,2,4|3|2|1,3,3,3,3|1|2,1,1992,5,5,2|5|4|1|3,2,3|2|4|1,1,7|1|5|2|3|6|4,5,,,1,0.03125,QID38,0,0,,default,bing_default|Q42,description,default_aw
2023-07-12 18:18:57,2023-07-12 18:38:10,0,24.250.184.225,100,1153,1,2023-07-12 18:38:10,R_6Ma2zCXfYpoH5ER,,,,,29.6138,-82.386,anonymous,EN,0.8999999761581421,1,59ea4e1116ecc200016ff81e,,,,,5,3|2|5|4|1,7,4.606,4.606,94.821,1,1,5|3|2|1,,,,,2,2|1,1,,,4.041,12.533,13.553,4,4,3|2|5|6|7|4|1,1,1|5|4|3|2,3.213,20.863,21.632,4,2,1,1|4|5|3|2,1.838,21.761,22.877,4,23,23|18|17|19|21|22|20,1,5|4|1|3|2,4.58,3.68,3.44,2.64,5|2|3|1,4.09,11.628,13.486,6,"1,3",3|4|5|2|6|1,,,2,1|2,2,3.289,124.377,125.035,4,1,2,4|2|1|3,3.027,13.588,14.545,4,2,1,4|2|1|3,2.161,11.632,11.873,6,3,2,4|1|2|3,4,4,4,1|3|2,"1,2",1988,5,5,1|4|3|5|2,1,4|1|2|3,4,6|1|2|3|4|5|7,5,None,,1,0,,0,0,,choice_screen,,description,default_aw
2023-07-12 18:29:17,2023-07-12 18:38:17,0,47.134.70.165,100,539,1,2023-07-12 18:38:17,R_1itHQ4lW2W5czjb,,,,,36.7328,-76.5898,anonymous,EN,0.8999999761581421,1,5f36e9589a54b113631fa759,,,,,5,1|3|5|4|2,7,4,4,7.985,1,1,1|5|2|3,,,,,2,1|2,1,,,11.136,40.856,41.983,3,4,2|5|1|4|6|7|3,1,5|2|4|1|3,11.158,29.718,31.017,4,2,1,4|2|1|5|3,6.221,19.637,20.617,4,23,21|22|19|20|17|18|23,1,4|5|3|1|2,4.52,3.78,3.85,4.45,1|2|5|3,3.475,16.555,18.143,12,"1,5",3|2|6|5|1|4,,,2,2|1,3,59.066,68.365,69.109,2,1,3,1|4|2|3,28.564,30.116,30.915,2,1,3,1|2|3|4,6.602,28.216,28.929,4,1,3,2|1|3|4,5,5,5,1|2|3,"1,2",1968,3,3,3|1|4|2|5,2,3|1|4|2,1,1|7|2|5|6|3|4,5,"I had never heard of weather underground.  So, I got to see a new weather site",,1,0,,0,0,,choice_screen,,description,default_wu
2023-07-12 18:24:30,2023-07-12 18:38:25,0,65.26.84.228,100,834,1,2023-07-12 18:38:25,R_3prJrjUIjfDLkIS,,,,,38.8121,-94.534,anonymous,EN,0.8999999761581421,1,5e9f657265908b0fcacb1839,,,,,5,2|5|1|4|3,7,,,,,,,10.383,10.383,21.491,1,2,2|1,2,4,1|2|3|4,14.212,46.275,48.205,3,4,1|6|2|7|5|3|4,4,2|4|5|1|3,16.258,84.265,85.84,3,2,4,1|2|5|3|4,9.651,179.633,181.461,8,23,20|18|17|19|22|21|23,1,5|2|4|1|3,4.8,4.53,4.3,2.6,5|1|2|3,19.22,41.304,43.694,8,"1,2,3",5|2|1|3|4|6,,,2,1|2,2,78.047,80.928,82.501,2,1,2,3|1|2|4,81.151,84.561,85.958,2,1,2,3|4|1|2,5.776,41.224,42.909,3,3,2,2|1|4|3,4,4,3,2|3|1,"1,2",1982,3,2,4|2|1|3|5,2,2|4|3|1,1,6|3|1|7|2|4|5,5,no thank you,,1,0,,0,0,,default,duckduckgo_default|Q42,description,default_aw
2023-07-12 18:30:26,2023-07-12 18:38:28,0,99.41.145.150,100,481,1,2023-07-12 18:38:28,R_2axBxouWZmOFMrO,,,,,35.0535,-82.0582,anonymous,EN,1,1,60171277d472ae2062db3a35,,,,,5,2|1|4|5|3,7,,,,,,,29.823,29.823,32.286,1,2,1|2,2,1,1|3|4|2,12.415,14.761,15.627,3,4,7|3|6|1|4|2|5,1,1|2|3|4|5,6.541,18.46,19.398,4,2,1,1|3|2|4|5,2.736,15.395,16.447,4,23,23|19|18|20|22|17|21,1,2|4|5|3|1,4.48,2.58,2.85,2.48,2|3|1|5,2.234,20.429,21.372,11,"1,3",3|2|5|1|4|6,,,2,2|1,3,47.221,49.606,50.873,3,1,3,3|2|4|1,32.811,49.984,51.079,3,3,1,2|3|1|4,75.05,78.53,78.95,4,1,1,1|4|2|3,4,3,1,1|3|2,1,1984,4,3,4|2|3|5|1,2,4|2|1|3,1,4|7|2|1|6|3|5,5,That weather underground site was terrible.,,1,0,,0,0,,default,google_default|Q42,description,default_wu
2023-07-12 18:31:21,2023-07-12 18:38:38,0,98.41.216.234,100,436,1,2023-07-12 18:38:38,R_1CyD2rsKxuJUuAB,,,,,38.768,-121.3349,anonymous,EN,0.8999999761581421,1,6131ed11a918100d4f4a2452,,,,,5,4|1|2|5|3,7,7.26,7.26,13.573,1,1,3|1|2|5,,,,,2,1|2,1,,,4.326,26.252,27.199,6,4,1|5|4|3|7|6|2,1,4|3|1|2|5,20.755,26.837,27.773,3,2,1,2|1|5|3|4,23.076,26.162,27.189,3,17,22|17|19|23|21|18|20,1,2|1|4|5|3,4.11,2.71,2.55,3.01,2|5|3|1,4.999,34.222,36.5,10,1,2|5|4|6|3|1,,,2,2|1,3,1.653,88.836,90.434,5,1,3,3|4|2|1,39.515,43.012,44.252,3,3,3,3|1|4|2,37.336,42.169,43.632,5,1,3,2|3|4|1,4,3,4,1|3|2,1,1999,3,1,5|2|1|4|3,2,2|3|1|4,1,5|6|4|1|3|7|2,5,,,1,0.03125,QID38,0,0,,choice_screen,,description,default_wu
2023-07-12 18:32:38,2023-07-12 18:38:56,0,98.160.232.250,100,377,1,2023-07-12 18:38:57,R_3PHvYR4jcwWa6BE,,,,,36.1685,-115.1164,anonymous,EN,1,1,5a16f199fe645f0001ea039c,,,,,5,4|1|2|5|3,7,,,,,,,11.077,11.077,15.67,1,2,2|1,2,3,3|2|1|4,15.894,19.992,21.703,2,4,2|4|6|5|7|1|3,1,4|2|3|5|1,7.447,27.551,28.535,4,2,1,5|2|4|1|3,3.016,21.013,21.996,4,23,21|22|19|23|18|17|20,1,1|5|4|3|2,5,4,1,2,5|3|2|1,3.412,17.33,19.891,7,"1,3,5",6|3|4|1|5|2,1,2|3|1,1,1|2,,5.326,49.389,50.749,4,1,1,3|1|2|4,3.873,29.682,30.843,4,2,1,2|3|1|4,3.3,20.489,21.542,4,1,1,3|2|1|4,5,4,3,3|2|1,1,1972,4,3,1|3|2|5|4,2,2|1|4|3,1,1|2|7|3|4|5|6,5,,,1,0.03125,QID38,0,0,,default,yahoo_default|Q42,description,choice screen
2023-07-12 18:33:15,2023-07-12 18:39:02,0,98.252.68.215,100,347,1,2023-07-12 18:39:03,R_3ktPzEqkES8LZp6,,,,,38.5559,-121.7391,anonymous,EN,1,1,6125eca03b2cfbbe2e6a88cd,,,,,5,4|3|5|2|1,7,5.94,5.94,10.004,1,1,5|1|3|2,,,,,2,2|1,1,,,12.759,19.148,20.345,5,4,5|3|4|2|6|1|7,1,3|5|1|4|2,4.673,28.701,29.567,3,2,1,5|4|3|2|1,3.09,16.354,17.716,4,23,19|22|17|18|21|20|23,1,3|2|4|5|1,4.75,3.15,2.85,2.95,1|2|3|5,2.762,20.172,21.22,10,"1,3",5|3|2|4|1|6,,,2,2|1,1,53.546,56.459,57.923,2,1,4,3|4|1|2,35.274,38.667,39.053,3,1,2,3|1|4|2,28.414,30.23,31.15,2,3,2,3|4|1|2,3,4,4,3|1|2,"2,4",1997,5,5,3|5|4|2|1,1,1|4|3|2,1,1|2|5|3|4|6|7,5,I did not stick to weather channel.,,1,0,,0,0,,choice_screen,,description,default_wc
2023-07-12 18:30:54,2023-07-12 18:39:18,0,98.215.140.85,100,504,1,2023-07-12 18:39:19,R_3EYHqe2yuMp0bpU,,,,,40.9509,-90.3658,anonymous,EN,1,1,59c2855d5c50560001df9858,,,,,5,2|5|4|1|3,7,9.229,14.741,25.297,2,1,5|3|1|2,,,,,2,1|2,1,,,45.882,48.877,50.4,2,4,3|2|5|1|4|6|7,1,3|2|1|4|5,3.819,40.246,41.319,7,2,1,5|4|3|2|1,2.025,118.341,119.24,7,23,20|17|19|18|22|23|21,1,3|4|2|1|5,4.61,2.44,2.54,2.61,3|5|1|2,6.816,15.819,16.576,7,"1,3,5",5|1|2|6|4|3,1,3|1|2,1,2|1,,20.245,22.449,24.997,2,1,1,1|2|4|3,19.878,22.141,23.302,2,3,1,1|2|4|3,23.598,25.708,26.417,2,1,1,3|1|2|4,5,4,3,1|3|2,1,1997,4,5,5|2|3|1|4,1,1|2|4|3,1,6|1|2|5|3|4|7,5,"The trivia questions were supposed to be simple, but for the question about the seconds most expensive painting many different sources gave different answers so that wasn't very simple. ",,1,0,,0,0,,choice_screen,,description,choice screen
2023-07-12 18:27:46,2023-07-12 18:39:30,0,67.40.253.127,100,703,1,2023-07-12 18:39:31,R_XgOj3Y0SVe2yMWB,,,,,45.6728,-121.5398,anonymous,EN,0.8999999761581421,1,596bac33670f410001fe9c07,,,,,5,2|1|5|3|4,7,15.705,15.705,18.245,1,1,3|1|2|5,,,,,2,2|1,1,,,20.191,34.85,39.022,10,4,4|5|7|3|1|2|6,1,2|3|4|5|1,4.74,50.302,52.794,5,2,1,4|2|5|1|3,2.34,38.304,39.445,6,23,17|22|18|19|21|23|20,1,3|1|5|4|2,5,3.57,3.6,1.8,1|3|5|2,4.125,29.333,31.522,9,"1,3",1|2|5|4|6|3,,,2,2|1,1,5.347,101.41,103.779,10,1,1,2|4|1|3,183.891,197.396,199.377,5,2,2,1|3|4|2,18.226,21.935,23.04,2,1,1,2|3|1|4,4,5,1,2|3|1,"1,2",1993,2,5,2|4|5|1|3,2,3|1|4|2,1,1|5|6|7|4|2|3,5,I don't have any thoughts to share. Thanks!,,1,0,,0,0,,choice_screen,,description,default_wc
2023-07-12 18:26:39,2023-07-12 18:39:34,0,68.205.226.193,100,775,1,2023-07-12 18:39:35,R_1ITriyFifUSKAC5,,,,,28.5978,-81.3024,anonymous,EN,1,1,5d75af57bcfd5b001b192708,,,,,5,2|3|1|5|4,7,,,,,,,11.468,11.468,28.691,1,2,1|2,2,4,3|2|4|1,29.399,38.498,40.597,2,4,7|6|5|2|4|1|3,1,3|5|2|4|1,79.75,83.701,85.266,2,2,1,4|3|2|5|1,52.492,61.278,62.58,2,23,21|18|23|19|20|17|22,1,4|2|1|3|5,4.83,3.43,2.53,3.8,3|5|1|2,4.433,29.474,31.624,9,"1,3,5",3|1|6|2|4|5,,,2,2|1,3,125.25,130.08,131.669,2,1,1,2|4|3|1,41.23,51.387,52.6,2,2,1,3|2|1|4,43.907,48.978,50.294,2,1,2,4|1|2|3,5,3,4,2|3|1,"1,2",1954,4,3,5|2|3|1|4,2,3|2|4|1,1,2|3|1|7|4|6|5,5,,,1,0.03125,QID38,0,0,,default,duckduckgo_default|Q42,description,default_wu
2023-07-12 18:35:01,2023-07-12 18:39:43,0,172.113.102.173,100,282,1,2023-07-12 18:39:44,R_SPjHvwuWaZ2OQhz,,,,,33.9168,-118.3432,anonymous,EN,1,1,5a4a94fef7b7bc00014e1462,,,,,5,1|5|2|3|4,7,,,,,,,0,0,12.165,0,2,2|1,2,4,4|1|2|3,2.971,14.049,14.766,3,4,1|5|4|6|7|3|2,4,1|4|3|2|5,2.437,22.784,23.446,3,2,4,3|1|5|2|4,2.318,24.017,24.561,3,23,22|23|19|21|18|17|20,4,5|2|4|1|3,3.57,4.2,4.5,2.73,1|3|2|5,4.103,15.035,18.807,10,"1,3,5",6|3|4|1|2|5,1,1|2|3,1,2|1,,17.376,30.095,30.901,4,1,1,4|3|1|2,1.457,15.504,16.166,3,2,1,3|4|2|1,2.404,9.007,12.313,3,1,1,3|1|4|2,5,4,5,1|2|3,1,1989,1,2,4|2|1|3|5,1,2|1|4|3,7,5|2|3|7|1|6|4,5,n/a,,1,0,,0,0,,default,duckduckgo_default|Q42,description,choice screen
2023-07-12 18:32:42,2023-07-12 18:40:20,0,174.54.216.182,100,457,1,2023-07-12 18:40:20,R_pfmtrKxgq5wh74l,,,,,40.0691,-76.5606,anonymous,EN,1,1,60fe17d403e7873f58d332e9,,,,,5,2|3|5|4|1,7,,,,,,,6.44,6.44,10.498,1,2,1|2,2,2,2|1|4|3,10.743,13.499,14.706,2,4,4|5|3|1|7|2|6,2,4|5|3|1|2,18.918,21.974,21.978,4,2,2,1|2|5|4|3,41.95,48.641,52.993,3,17,19|21|18|23|20|22|17,2,3|1|2|5|4,4.61,3.61,2.61,2.61,5|1|2|3,5.358,22.987,24.136,12,"1,3,4",4|2|1|3|5|6,,,2,2|1,2,37.051,40.178,41.21,3,1,2,3|1|4|2,29.479,31.442,32.441,3,1,2,1|3|2|4,30.485,32.87,33.684,3,3,2,3|1|4|2,4,4,3,1|2|3,"1,2",1998,4,1,1|5|2|3|4,2,3|2|4|1,1,6|7|1|5|2|3|4,5,"I do usually stick with Google, but felt it saved time to stay with the browser that was already open.",,1,0,,0,0,,default,bing_default|Q42,description,default_aw
2023-07-12 18:32:06,2023-07-12 18:40:22,0,75.66.60.111,100,495,1,2023-07-12 18:40:22,R_12MacKjbsi9LtIT,,,,,35.0875,-89.7639,anonymous,EN,1,1,60fdd69580ed376b343c1796,,,,,5,3|5|1|2|4,7,2.151,22.361,26.199,3,1,1|3|5|2,,,,,2,2|1,1,,,29.656,32.414,34.405,2,4,6|5|1|2|4|3|7,1,1|3|4|5|2,8.297,46.692,48.799,4,2,1,4|3|1|2|5,4.408,27.554,29.579,4,23,21|20|19|17|22|18|23,1,5|3|1|4|2,4.15,4.85,4.28,2.55,2|5|1|3,2.686,25.298,27.115,10,"1,2,3,6",4|1|6|3|2|5,,,2,1|2,1,7.003,63.95,65.197,4,1,1,1|3|4|2,27.261,30.429,31.761,2,3,1,3|4|2|1,19.374,22.33,23.26,2,1,1,2|4|3|1,4,4,3,2|1|3,"1,3,4",1961,5,2,5|3|2|4|1,1,1|4|3|2,1,1|2|5|4|3|6|7,5,,,1,0.03125,QID38,0,0,,choice_screen,,description,default_wc
2023-07-12 18:35:35,2023-07-12 18:40:39,0,72.92.228.142,100,303,1,2023-07-12 18:40:40,R_38bBdcr4gUdsL7z,,,,,41.6925,-71.5705,anonymous,EN,1,1,63614cab87b22b72231c66e0,,,,,5,5|1|4|3|2,7,,,,,,,11.983,11.983,28.985,1,2,2|1,2,2,1|4|2|3,4.02,26.766,30.425,3,4,7|1|2|3|5|6|4,2,2|4|5|3|1,7.021,65.713,72.726,3,2,2,3|2|4|5|1,2.057,51.562,52.423,3,17,20|22|21|19|17|18|23,2,2|3|4|5|1,4.37,4.33,4.57,4.57,5|3|2|1,2.414,13.67,16.449,8,"1,3,5",4|3|2|6|5|1,1,3|2|1,2,2|1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,0,0,,default,bing_default|Q42,description,choice screen
2023-07-12 18:34:39,2023-07-12 18:40:40,0,24.230.108.54,100,361,1,2023-07-12 18:40:41,R_1P5n9oKeC1X9Vpi,,,,,46.8796,-96.7814,anonymous,EN,0.8999999761581421,1,5f5797c54d47e72494ff5840,,,,,5,3|1|4|2|5,7,6.978,6.978,8.521,1,1,5|2|3|1,,,,,2,1|2,1,,,8.226,16.791,17.475,4,4,7|4|2|5|6|3|1,1,5|4|1|2|3,4.311,15.987,16.6,4,2,1,5|4|2|1|3,2.617,16.493,17.284,6,23,18|20|21|23|17|22|19,1,4|1|5|3|2,4.65,3.18,0.48,4.58,2|1|3|5,3.587,12.207,13.588,5,1,4|5|2|6|3|1,,,2,2|1,3,96.477,99.068,100.476,2,1,3,2|4|1|3,3.69,56.925,57.756,3,2,3,1|4|2|3,24.231,26.356,27.048,2,1,3,2|3|1|4,4,2,3,3|2|1,4,1989,2,5,5|3|2|4|1,2,4|1|2|3,1,5|2|3|6|7|4|1,5,,,1,0.03125,QID38,0,0,,choice_screen,,description,default_wu
2023-07-12 18:34:33,2023-07-12 18:40:45,0,75.172.49.68,100,371,1,2023-07-12 18:40:46,R_OwEWJw3ESXALwpb,,,,,47.5364,-122.278,anonymous,EN,1,1,5bbc4bd1f83ac60001fe665e,,,,,5,3|2|5|4|1,7,5.04,15.233,19.163,2,1,2|3|5|1,,,,,2,1|2,1,,,13.698,15.734,18.044,2,4,2|3|4|7|1|5|6,1,5|1|4|2|3,25.434,27.394,29.051,2,1,1,2|3|5|4|1,30.136,32.498,33.542,2,17,20|23|21|18|17|19|22,1,2|1|4|5|3,3.52,3.48,4.02,3.52,5|1|3|2,14.42,30.678,32.411,6,1,2|4|3|6|5|1,,,2,2|1,1,38.461,42.298,43.538,2,1,1,3|4|2|1,21.322,23.831,24.896,2,3,1,2|3|4|1,16.097,18.933,20.319,2,1,1,2|1|3|4,4,4,4,2|1|3,3,1989,3,2,1|5|2|4|3,2,4|1|2|3,1,3|1|5|6|7|2|4,5,"I definitely use Google almost exclusively despite getting more and more frustrated with it as the years go on. ",,1,0,,0,0,,choice_screen,,description,default_wc
2023-07-12 18:34:38,2023-07-12 18:41:04,0,73.178.179.63,100,386,1,2023-07-12 18:41:04,R_2VOx8rWqXVDZ2fQ,,,,,39.3773,-74.6123,anonymous,EN,1,1,6088f60b89868db524fe69e8,,,,,5,5|4|3|2|1,7,,,,,,,3.032,3.032,8.138,1,2,1|2,2,2,2|4|3|1,3.116,14.364,16.852,4,4,7|3|6|1|2|4|5,2,1|5|4|2|3,3.668,32.242,33.664,4,2,1,3|1|5|4|2,3.565,24.624,25.381,4,17,17|21|19|23|20|22|18,2,1|4|2|5|3,4.35,3.35,0.68,1.38,3|1|5|2,4.181,17.987,19.33,6,"1,6",4|6|1|2|3|5,1,3|1|2,1,1|2,,6.177,84.844,85.972,5,1,1,2|3|4|1,4.24,26.495,27.369,4,3,1,3|1|4|2,3.158,25.765,26.93,4,1,1,3|1|4|2,4,3,2,1|2|3,1,2001,2,5,3|4|5|1|2,2,4|1|2|3,1,1|2|3|4|7|6|5,5,,,1,0.03125,QID38,0,0,,default,bing_default|Q42,description,choice screen
